Operation	Max(MiB)	Min(MiB)	Mean(MiB)	StdDev	Mean(s)	Test#	#Tasks	tPN	reps	fPP	reord	reordoff	reordrand	seed	segcnt	blksiz	xsize	aggsize	API	RefNum
write	2.37	0.16	0.94	0.67	0.00790	0	1	1	10	1	0	1	0	0	1	4096	4096	4096	IOD	0
read	3.81	0.29	1.98	1.06	0.00327	0	1	1	10	1	1	1	0	0	1	4096	4096	4096	IOD	0
write	0.02	0.00	0.00	0.00	1.15428	0	1	1	10	1	0	1	0	0	1	4096	4096	4096	IOD	0
read	0.13	0.13	0.13	0.00	0.03009	0	1	1	1	1	0	1	0	0	1	4096	4096	4096	IOD	0
write	1.70	0.45	0.90	0.49	0.05591	0	1	1	10	1	0	1	0	0	1	40960	4096	40960	IOD	0
read	4.39	1.75	3.57	0.70	0.01164	0	1	1	10	1	1	1	0	0	1	40960	4096	40960	IOD	0
write	0.13	0.03	0.04	0.03	1.14662	0	1	1	10	1	0	1	0	0	1	40960	4096	40960	IOD	0
read	1.59	1.59	1.59	0.00	0.02456	0	1	1	1	1	0	1	0	0	1	40960	4096	40960	IOD	0
write	1.72	1.26	1.58	0.15	0.24950	0	1	1	10	1	0	1	0	0	1	409600	4096	409600	IOD	0
read	4.46	3.46	4.26	0.32	0.09238	0	1	1	10	1	1	1	0	0	1	409600	4096	409600	IOD	0
write	0.46	0.28	0.33	0.05	1.20814	0	1	1	10	1	0	1	0	0	1	409600	4096	409600	IOD	0
read	3.39	3.39	3.39	0.00	0.11506	0	1	1	1	1	0	1	0	0	1	409600	4096	409600	IOD	0
write	2.26	0.11	1.21	0.73	0.01539	0	2	1	10	1	0	1	0	0	1	4096	4096	8192	IOD	0
read	6.39	0.52	3.29	1.49	0.00363	0	2	1	10	1	1	1	0	0	1	4096	4096	8192	IOD	0
write	0.01	0.01	0.01	0.00	1.27381	0	2	1	10	1	0	1	0	0	1	4096	4096	8192	IOD	0
read	0.51	0.51	0.51	0.00	0.01523	0	2	1	1	1	0	1	0	0	1	4096	4096	8192	IOD	0
write	2.96	0.94	2.15	0.69	0.04187	0	2	1	10	1	0	1	0	0	1	40960	4096	81920	IOD	0
read	7.32	1.68	6.30	1.60	0.01503	0	2	1	10	1	1	1	0	0	1	40960	4096	81920	IOD	0
write	0.23	0.06	0.08	0.05	1.13691	0	2	1	10	1	0	1	0	0	1	40960	4096	81920	IOD	0
read	3.20	3.20	3.20	0.00	0.02442	0	2	1	1	1	0	1	0	0	1	40960	4096	81920	IOD	0
write	3.40	2.61	3.10	0.23	0.25375	0	2	1	10	1	0	1	0	0	1	409600	4096	819200	IOD	0
read	8.99	3.03	7.93	1.71	0.10909	0	2	1	10	1	1	1	0	0	1	409600	4096	819200	IOD	0
write	0.78	0.52	0.63	0.07	1.25685	0	2	1	10	1	0	1	0	0	1	409600	4096	819200	IOD	0
read	6.82	6.82	6.82	0.00	0.11457	0	2	1	1	1	0	1	0	0	1	409600	4096	819200	IOD	0
write	4.02	0.89	2.79	0.79	0.00656	0	4	1	10	1	0	1	0	0	1	4096	4096	16384	IOD	0
read	11.41	0.98	6.04	2.80	0.00393	0	4	1	10	1	1	1	0	0	1	4096	4096	16384	IOD	0
write	0.03	0.01	0.01	0.00	1.19608	0	4	1	10	1	0	1	0	0	1	4096	4096	16384	IOD	0
read	0.93	0.93	0.93	0.00	0.01675	0	4	1	1	1	0	1	0	0	1	4096	4096	16384	IOD	0
write	6.22	3.58	4.59	0.77	0.03491	0	4	1	10	1	0	1	0	0	1	40960	4096	163840	IOD	0
read	14.86	2.22	11.90	3.33	0.01792	0	4	1	10	1	1	1	0	0	1	40960	4096	163840	IOD	0
write	0.19	0.11	0.13	0.02	1.21382	0	4	1	10	1	0	1	0	0	1	40960	4096	163840	IOD	0
read	3.64	3.64	3.64	0.00	0.04292	0	4	1	1	1	0	1	0	0	1	40960	4096	163840	IOD	0
write	6.39	4.39	5.49	0.61	0.28855	0	4	1	10	1	0	1	0	0	1	409600	4096	1638400	IOD	0
read	15.64	13.30	14.87	0.79	0.10539	0	4	1	10	1	1	1	0	0	1	409600	4096	1638400	IOD	0
write	1.83	0.94	1.28	0.21	1.24677	0	4	1	10	1	0	1	0	0	1	409600	4096	1638400	IOD	0
read	13.23	13.23	13.23	0.00	0.11813	0	4	1	1	1	0	1	0	0	1	409600	4096	1638400	IOD	0
write	6.69	1.27	5.03	1.54	0.00780	0	8	2	10	1	0	1	0	0	1	4096	4096	32768	IOD	0
read	10.77	1.52	8.75	2.49	0.00502	0	8	2	10	1	1	1	0	0	1	4096	4096	32768	IOD	0
write	0.04	0.02	0.03	0.00	1.17328	0	8	2	10	1	0	1	0	0	1	4096	4096	32768	IOD	0
read	1.59	1.59	1.59	0.00	0.01963	0	8	2	1	1	0	1	0	0	1	4096	4096	32768	IOD	0
write	8.76	4.50	7.66	1.15	0.04220	0	8	2	10	1	0	1	0	0	1	40960	4096	327680	IOD	0
read	24.96	9.24	21.44	4.35	0.01579	0	8	2	10	1	1	1	0	0	1	40960	4096	327680	IOD	0
write	0.27	0.24	0.26	0.01	1.21374	0	8	2	10	1	0	1	0	0	1	40960	4096	327680	IOD	0
read	10.45	10.45	10.45	0.00	0.02991	0	8	2	1	1	0	1	0	0	1	40960	4096	327680	IOD	0
write	10.41	7.39	8.74	1.00	0.36197	0	8	2	10	1	0	1	0	0	1	409600	4096	3276800	IOD	0
read	29.30	15.92	25.75	3.59	0.12477	0	8	2	10	1	1	1	0	0	1	409600	4096	3276800	IOD	0
write	2.75	1.95	2.35	0.24	1.34593	0	8	2	10	1	0	1	0	0	1	409600	4096	3276800	IOD	0
read	20.60	20.60	20.60	0.00	0.15170	0	8	2	1	1	0	1	0	0	1	409600	4096	3276800	IOD	0
write	8.90	1.87	7.02	1.92	0.01085	0	16	4	10	1	0	1	0	0	1	4096	4096	65536	IOD	0
read	16.99	1.91	14.08	4.22	0.00695	0	16	4	10	1	1	1	0	0	1	4096	4096	65536	IOD	0
write	0.17	0.04	0.06	0.04	1.18741	0	16	4	10	1	0	1	0	0	1	4096	4096	65536	IOD	0
read	1.80	1.80	1.80	0.00	0.03475	0	16	4	1	1	0	1	0	0	1	4096	4096	65536	IOD	0
write	13.29	8.11	11.55	1.54	0.05528	0	16	4	10	1	0	1	0	0	1	40960	4096	655360	IOD	0
read	36.93	13.73	29.12	6.09	0.02304	0	16	4	10	1	1	1	0	0	1	40960	4096	655360	IOD	0
write	0.76	0.46	0.54	0.08	1.18338	0	16	4	10	1	0	1	0	0	1	40960	4096	655360	IOD	0
read	12.26	12.26	12.26	0.00	0.05097	0	16	4	1	1	0	1	0	0	1	40960	4096	655360	IOD	0
write	14.94	12.26	13.01	0.80	0.48227	0	16	4	10	1	0	1	0	0	1	409600	4096	6553600	IOD	0
read	46.69	32.73	40.27	4.80	0.15747	0	16	4	10	1	1	1	0	0	1	409600	4096	6553600	IOD	0
write	5.64	3.82	4.90	0.51	1.29148	0	16	4	10	1	0	1	0	0	1	409600	4096	6553600	IOD	0
read	32.23	32.23	32.23	0.00	0.19392	0	16	4	1	1	0	1	0	0	1	409600	4096	6553600	IOD	0
write	10.15	1.14	5.91	2.55	0.03067	0	32	8	10	1	0	1	0	0	1	4096	4096	131072	IOD	0
read	11.31	1.53	6.20	3.30	0.02904	0	32	8	10	1	1	1	0	0	1	4096	4096	131072	IOD	0
write	0.11	0.07	0.10	0.01	1.29884	0	32	8	10	1	0	1	0	0	1	4096	4096	131072	IOD	0
read	1.52	1.52	1.52	0.00	0.08222	0	32	8	1	1	0	1	0	0	1	4096	4096	131072	IOD	0
write	19.29	10.14	15.77	2.56	0.08182	0	32	8	10	1	0	1	0	0	1	40960	4096	1310720	IOD	0
read	41.60	14.67	28.91	8.64	0.04860	0	32	8	10	1	1	1	0	0	1	40960	4096	1310720	IOD	0
write	2.06	0.91	1.12	0.32	1.16885	0	32	8	10	1	0	1	0	0	1	40960	4096	1310720	IOD	0
read	15.25	15.25	15.25	0.00	0.08195	0	32	8	1	1	0	1	0	0	1	40960	4096	1310720	IOD	0
write	22.04	14.17	18.42	2.12	0.68826	0	32	8	10	1	0	1	0	0	1	409600	4096	13107200	IOD	0
read	58.79	45.02	52.41	4.72	0.24050	0	32	8	10	1	1	1	0	0	1	409600	4096	13107200	IOD	0
write	14.39	3.60	9.81	2.49	1.43517	0	32	8	10	1	0	1	0	0	1	409600	4096	13107200	IOD	0
read	49.45	49.45	49.45	0.00	0.25278	0	32	8	1	1	0	1	0	0	1	409600	4096	13107200	IOD	0
write	44.73	17.70	34.96	7.91	0.01533	0	1	1	10	1	0	1	0	0	1	524288	524288	524288	IOD	0
read	61.30	4.73	47.26	15.62	0.01938	0	1	1	10	1	1	1	0	0	1	524288	524288	524288	IOD	0
write	0.47	0.30	0.39	0.05	1.30117	0	1	1	10	1	0	1	0	0	1	524288	524288	524288	IOD	0
read	13.42	13.42	13.42	0.00	0.03725	0	1	1	1	1	0	1	0	0	1	524288	524288	524288	IOD	0
write	40.11	29.93	36.17	3.75	0.13984	0	1	1	10	1	0	1	0	0	1	5242880	524288	5242880	IOD	0
read	64.55	52.69	61.49	3.09	0.08155	0	1	1	10	1	1	1	0	0	1	5242880	524288	5242880	IOD	0
write	4.38	3.73	4.08	0.21	1.22875	0	1	1	10	1	0	1	0	0	1	5242880	524288	5242880	IOD	0
read	52.63	52.63	52.63	0.00	0.09500	0	1	1	1	1	0	1	0	0	1	5242880	524288	5242880	IOD	0
write	40.00	36.31	38.85	0.90	1.28767	0	1	1	10	1	0	1	0	0	1	52428800	524288	52428800	IOD	0
read	65.29	63.19	64.18	0.59	0.77917	0	1	1	10	1	1	1	0	0	1	52428800	524288	52428800	IOD	0
write	31.50	20.22	22.47	3.13	2.25843	0	1	1	10	1	0	1	0	0	1	52428800	524288	52428800	IOD	0
read	62.49	62.49	62.49	0.00	0.80014	0	1	1	1	1	0	1	0	0	1	52428800	524288	52428800	IOD	0
write	72.52	34.74	57.41	11.45	0.01827	0	2	1	10	1	0	1	0	0	1	524288	524288	1048576	IOD	0
read	92.70	43.59	82.39	14.91	0.01278	0	2	1	10	1	1	1	0	0	1	524288	524288	1048576	IOD	0
write	3.33	0.58	1.03	0.77	1.21413	0	2	1	10	1	0	1	0	0	1	524288	524288	1048576	IOD	0
read	44.13	44.13	44.13	0.00	0.02266	0	2	1	1	1	0	1	0	0	1	524288	524288	1048576	IOD	0
write	78.19	24.37	66.99	16.18	0.16860	0	2	1	10	1	0	1	0	0	1	5242880	524288	10485760	IOD	0
read	127.84	89.07	113.17	12.85	0.08961	0	2	1	10	1	1	1	0	0	1	5242880	524288	10485760	IOD	0
write	20.11	7.37	9.40	3.60	1.14939	0	2	1	10	1	0	1	0	0	1	5242880	524288	10485760	IOD	0
read	77.40	77.40	77.40	0.00	0.12920	0	2	1	1	1	0	1	0	0	1	5242880	524288	10485760	IOD	0
write	78.60	55.84	74.70	6.81	1.35270	0	2	1	10	1	0	1	0	0	1	52428800	524288	104857600	IOD	0
read	127.97	105.29	123.86	6.25	0.80975	0	2	1	10	1	1	1	0	0	1	52428800	524288	104857600	IOD	0
write	47.78	25.39	40.05	6.30	2.57748	0	2	1	10	1	0	1	0	0	1	52428800	524288	104857600	IOD	0
read	125.42	125.42	125.42	0.00	0.79731	0	2	1	1	1	0	1	0	0	1	52428800	524288	104857600	IOD	0
write	119.97	7.51	78.61	29.88	0.04885	0	4	1	10	1	0	1	0	0	1	524288	524288	2097152	IOD	0
read	178.17	12.56	121.08	47.04	0.03066	0	4	1	10	1	1	1	0	0	1	524288	524288	2097152	IOD	0
write	1.97	1.45	1.66	0.15	1.21198	0	4	1	10	1	0	1	0	0	1	524288	524288	2097152	IOD	0
read	46.43	46.43	46.43	0.00	0.04308	0	4	1	1	1	0	1	0	0	1	524288	524288	2097152	IOD	0
write	154.57	52.75	93.88	40.26	0.25792	0	4	1	10	1	0	1	0	0	1	5242880	524288	20971520	IOD	0
read	245.59	127.37	187.59	37.22	0.11109	0	4	1	10	1	1	1	0	0	1	5242880	524288	20971520	IOD	0
write	18.27	13.55	16.14	1.23	1.24625	0	4	1	10	1	0	1	0	0	1	5242880	524288	20971520	IOD	0
read	160.26	160.26	160.26	0.00	0.12480	0	4	1	1	1	0	1	0	0	1	5242880	524288	20971520	IOD	0
write	155.01	38.95	102.21	27.85	2.20697	0	4	1	10	1	0	1	0	0	1	52428800	524288	209715200	IOD	0
read	255.87	137.83	203.95	37.05	1.01999	0	4	1	10	1	1	1	0	0	1	52428800	524288	209715200	IOD	0
write	114.28	62.32	81.08	14.66	2.54319	0	4	1	10	1	0	1	0	0	1	52428800	524288	209715200	IOD	0
read	244.94	244.94	244.94	0.00	0.81651	0	4	1	1	1	0	1	0	0	1	52428800	524288	209715200	IOD	0
write	167.71	69.81	131.91	29.67	0.03242	0	8	2	10	1	0	1	0	0	1	524288	524288	4194304	IOD	0
read	273.15	100.34	207.22	49.29	0.02089	0	8	2	10	1	1	1	0	0	1	524288	524288	4194304	IOD	0
write	3.65	2.90	3.26	0.24	1.23203	0	8	2	10	1	0	1	0	0	1	524288	524288	4194304	IOD	0
read	127.49	127.49	127.49	0.00	0.03138	0	8	2	1	1	0	1	0	0	1	524288	524288	4194304	IOD	0
write	205.60	67.54	135.30	49.93	0.34010	0	8	2	10	1	0	1	0	0	1	5242880	524288	41943040	IOD	0
read	271.83	105.82	211.49	51.50	0.20496	0	8	2	10	1	1	1	0	0	1	5242880	524288	41943040	IOD	0
write	56.82	23.84	33.41	8.53	1.25760	0	8	2	10	1	0	1	0	0	1	5242880	524288	41943040	IOD	0
read	232.21	232.21	232.21	0.00	0.17226	0	8	2	1	1	0	1	0	0	1	5242880	524288	41943040	IOD	0
write	194.04	79.61	152.75	32.83	2.78899	0	8	2	10	1	0	1	0	0	1	52428800	524288	419430400	IOD	0
read	271.60	166.04	234.18	34.77	1.75389	0	8	2	10	1	1	1	0	0	1	52428800	524288	419430400	IOD	0
write	174.41	69.36	114.87	29.20	3.71725	0	8	2	10	1	0	1	0	0	1	52428800	524288	419430400	IOD	0
read	272.97	272.97	272.97	0.00	1.46534	0	8	2	1	1	0	1	0	0	1	52428800	524288	419430400	IOD	0
write	209.65	18.91	133.87	74.83	0.12824	0	16	4	10	1	0	1	0	0	1	524288	524288	8388608	IOD	0
read	306.63	30.01	198.51	106.54	0.08671	0	16	4	10	1	1	1	0	0	1	524288	524288	8388608	IOD	0
write	9.76	5.66	6.85	1.04	1.19008	0	16	4	10	1	0	1	0	0	1	524288	524288	8388608	IOD	0
read	120.49	120.49	120.49	0.00	0.06640	0	16	4	1	1	0	1	0	0	1	524288	524288	8388608	IOD	0
write	278.29	121.08	180.88	37.60	0.45937	0	16	4	10	1	0	1	0	0	1	5242880	524288	83886080	IOD	0
read	349.84	204.57	251.25	49.53	0.32919	0	16	4	10	1	1	1	0	0	1	5242880	524288	83886080	IOD	0
write	76.52	54.89	63.76	5.73	1.26416	0	16	4	10	1	0	1	0	0	1	5242880	524288	83886080	IOD	0
read	197.16	197.16	197.16	0.00	0.40577	0	16	4	1	1	0	1	0	0	1	5242880	524288	83886080	IOD	0
write	280.98	61.16	176.76	56.56	5.29747	0	16	4	10	1	0	1	0	0	1	52428800	524288	838860800	IOD	0
read	355.99	291.16	316.15	22.94	2.54348	0	16	4	10	1	1	1	0	0	1	52428800	524288	838860800	IOD	0
write	249.40	103.97	164.64	45.57	5.24182	0	16	4	10	1	0	1	0	0	1	52428800	524288	838860800	IOD	0
read	308.33	308.33	308.33	0.00	2.59461	0	16	4	1	1	0	1	0	0	1	52428800	524288	838860800	IOD	0
write	64.79	32.54	49.95	11.39	0.34079	0	32	8	10	1	0	1	0	0	1	524288	524288	16777216	IOD	0
read	61.15	31.10	42.40	11.88	0.40347	0	32	8	10	1	1	1	0	0	1	524288	524288	16777216	IOD	0
write	51.77	7.16	16.29	11.98	1.24329	0	32	8	10	1	0	1	0	0	1	524288	524288	16777216	IOD	0
read	52.21	52.21	52.21	0.00	0.30645	0	32	8	1	1	0	1	0	0	1	524288	524288	16777216	IOD	0
write	295.66	120.21	203.84	50.00	0.83615	0	32	8	10	1	0	1	0	0	1	5242880	524288	167772160	IOD	0
read	281.10	184.91	233.90	32.70	0.69826	0	32	8	10	1	1	1	0	0	1	5242880	524288	167772160	IOD	0
write	140.94	81.37	114.90	22.50	1.45330	0	32	8	10	1	0	1	0	0	1	5242880	524288	167772160	IOD	0
read	236.43	236.43	236.43	0.00	0.67673	0	32	8	1	1	0	1	0	0	1	5242880	524288	167772160	IOD	0
write	286.05	138.61	208.62	47.54	8.09665	0	32	8	10	1	0	1	0	0	1	52428800	524288	1677721600	IOD	0
read	388.78	289.03	355.72	30.40	4.53399	0	32	8	10	1	1	1	0	0	1	52428800	524288	1677721600	IOD	0
write	293.14	114.39	210.42	51.79	8.16546	0	32	8	10	1	0	1	0	0	1	52428800	524288	1677721600	IOD	0
read	380.47	380.47	380.47	0.00	4.20537	0	32	8	1	1	0	1	0	0	1	52428800	524288	1677721600	IOD	0
write	50.52	15.54	41.21	9.70	0.02711	0	1	1	10	1	0	1	0	0	1	1048576	1048576	1048576	IOD	0
read	66.34	32.44	56.36	10.32	0.01855	0	1	1	10	1	1	1	0	0	1	1048576	1048576	1048576	IOD	0
write	1.23	0.73	0.84	0.14	1.20934	0	1	1	10	1	0	1	0	0	1	1048576	1048576	1048576	IOD	0
read	25.78	25.78	25.78	0.00	0.03879	0	1	1	1	1	0	1	0	0	1	1048576	1048576	1048576	IOD	0
write	48.16	34.17	44.66	4.03	0.22612	0	1	1	10	1	0	1	0	0	1	10485760	1048576	10485760	IOD	0
read	68.56	62.01	67.38	1.85	0.14854	0	1	1	10	1	1	1	0	0	1	10485760	1048576	10485760	IOD	0
write	8.79	6.79	8.06	0.66	1.24943	0	1	1	10	1	0	1	0	0	1	10485760	1048576	10485760	IOD	0
read	57.28	57.28	57.28	0.00	0.17458	0	1	1	1	1	0	1	0	0	1	10485760	1048576	10485760	IOD	0
write	48.12	23.29	42.34	7.81	2.48414	0	1	1	10	1	0	1	0	0	1	104857600	1048576	104857600	IOD	0
read	69.69	66.94	68.44	0.83	1.46134	0	1	1	10	1	1	1	0	0	1	104857600	1048576	104857600	IOD	0
write	41.63	21.08	29.48	5.05	3.48792	0	1	1	10	1	0	1	0	0	1	104857600	1048576	104857600	IOD	0
read	67.51	67.51	67.51	0.00	1.48135	0	1	1	1	1	0	1	0	0	1	104857600	1048576	104857600	IOD	0
write	89.25	38.23	71.96	16.78	0.02994	0	2	1	10	1	0	1	0	0	1	1048576	1048576	2097152	IOD	0
read	131.31	51.62	104.57	25.45	0.02081	0	2	1	10	1	1	1	0	0	1	1048576	1048576	2097152	IOD	0
write	1.99	1.47	1.67	0.13	1.20364	0	2	1	10	1	0	1	0	0	1	1048576	1048576	2097152	IOD	0
read	51.09	51.09	51.09	0.00	0.03915	0	2	1	1	1	0	1	0	0	1	1048576	1048576	2097152	IOD	0
write	92.72	72.02	89.33	5.89	0.22507	0	2	1	10	1	0	1	0	0	1	10485760	1048576	20971520	IOD	0
read	136.43	123.49	133.90	3.57	0.14948	0	2	1	10	1	1	1	0	0	1	10485760	1048576	20971520	IOD	0
write	17.68	14.21	16.16	1.21	1.24488	0	2	1	10	1	0	1	0	0	1	10485760	1048576	20971520	IOD	0
read	124.96	124.96	124.96	0.00	0.16005	0	2	1	1	1	0	1	0	0	1	10485760	1048576	20971520	IOD	0
write	94.50	42.58	79.41	15.58	2.65899	0	2	1	10	1	0	1	0	0	1	104857600	1048576	209715200	IOD	0
read	138.53	102.92	127.51	13.62	1.58858	0	2	1	10	1	1	1	0	0	1	104857600	1048576	209715200	IOD	0
write	81.14	34.07	56.21	14.53	3.80659	0	2	1	10	1	0	1	0	0	1	104857600	1048576	209715200	IOD	0
read	136.09	136.09	136.09	0.00	1.46958	0	2	1	1	1	0	1	0	0	1	104857600	1048576	209715200	IOD	0
write	140.46	78.34	103.21	16.16	0.03967	0	4	1	10	1	0	1	0	0	1	1048576	1048576	4194304	IOD	0
read	220.99	114.48	151.02	29.12	0.02739	0	4	1	10	1	1	1	0	0	1	1048576	1048576	4194304	IOD	0
write	3.90	2.91	3.35	0.26	1.20241	0	4	1	10	1	0	1	0	0	1	1048576	1048576	4194304	IOD	0
read	100.71	100.71	100.71	0.00	0.03972	0	4	1	1	1	0	1	0	0	1	1048576	1048576	4194304	IOD	0
write	181.07	107.69	132.49	19.64	0.30785	0	4	1	10	1	0	1	0	0	1	10485760	1048576	41943040	IOD	0
read	266.55	137.37	196.60	30.94	0.20866	0	4	1	10	1	1	1	0	0	1	10485760	1048576	41943040	IOD	0
write	55.00	29.57	35.80	6.86	1.14862	0	4	1	10	1	0	1	0	0	1	10485760	1048576	41943040	IOD	0
read	192.70	192.70	192.70	0.00	0.20757	0	4	1	1	1	0	1	0	0	1	10485760	1048576	41943040	IOD	0
write	186.14	94.96	131.34	22.69	3.13072	0	4	1	10	1	0	1	0	0	1	104857600	1048576	419430400	IOD	0
read	245.93	147.19	208.77	25.22	1.95010	0	4	1	10	1	1	1	0	0	1	104857600	1048576	419430400	IOD	0
write	123.51	43.78	91.35	25.33	4.85489	0	4	1	10	1	0	1	0	0	1	104857600	1048576	419430400	IOD	0
read	220.06	220.06	220.06	0.00	1.81765	0	4	1	1	1	0	1	0	0	1	104857600	1048576	419430400	IOD	0
write	209.22	112.06	154.22	28.01	0.05352	0	8	2	10	1	0	1	0	0	1	1048576	1048576	8388608	IOD	0
read	287.01	150.05	225.92	36.19	0.03647	0	8	2	10	1	1	1	0	0	1	1048576	1048576	8388608	IOD	0
write	12.22	5.83	7.02	1.79	1.18764	0	8	2	10	1	0	1	0	0	1	1048576	1048576	8388608	IOD	0
read	148.31	148.31	148.31	0.00	0.05394	0	8	2	1	1	0	1	0	0	1	1048576	1048576	8388608	IOD	0
write	227.84	103.48	186.90	34.35	0.44910	0	8	2	10	1	0	1	0	0	1	10485760	1048576	83886080	IOD	0
read	277.58	180.61	225.34	35.80	0.36390	0	8	2	10	1	1	1	0	0	1	10485760	1048576	83886080	IOD	0
write	88.37	40.36	59.40	12.53	1.40356	0	8	2	10	1	0	1	0	0	1	10485760	1048576	83886080	IOD	0
read	119.63	119.63	119.63	0.00	0.66874	0	8	2	1	1	0	1	0	0	1	10485760	1048576	83886080	IOD	0
write	219.72	88.90	185.05	36.15	4.61013	0	8	2	10	1	0	1	0	0	1	104857600	1048576	838860800	IOD	0
read	321.06	212.09	248.46	34.69	3.27927	0	8	2	10	1	1	1	0	0	1	104857600	1048576	838860800	IOD	0
write	187.18	85.39	135.29	35.47	6.35143	0	8	2	10	1	0	1	0	0	1	104857600	1048576	838860800	IOD	0
read	169.66	169.66	169.66	0.00	4.71538	0	8	2	1	1	0	1	0	0	1	104857600	1048576	838860800	IOD	0
write	233.17	31.53	126.37	82.00	0.22274	0	16	4	10	1	0	1	0	0	1	1048576	1048576	16777216	IOD	0
read	317.49	56.74	176.40	113.77	0.15463	0	16	4	10	1	1	1	0	0	1	1048576	1048576	16777216	IOD	0
write	18.06	10.68	13.12	1.96	1.24343	0	16	4	10	1	0	1	0	0	1	1048576	1048576	16777216	IOD	0
read	53.36	53.36	53.36	0.00	0.29984	0	16	4	1	1	0	1	0	0	1	1048576	1048576	16777216	IOD	0
write	287.79	152.07	206.99	47.39	0.81303	0	16	4	10	1	0	1	0	0	1	10485760	1048576	167772160	IOD	0
read	309.83	212.72	262.60	33.17	0.61902	0	16	4	10	1	1	1	0	0	1	10485760	1048576	167772160	IOD	0
write	152.48	70.65	122.03	22.08	1.36943	0	16	4	10	1	0	1	0	0	1	10485760	1048576	167772160	IOD	0
read	289.37	289.37	289.37	0.00	0.55292	0	16	4	1	1	0	1	0	0	1	10485760	1048576	167772160	IOD	0
write	230.62	78.84	163.96	57.46	11.55408	0	16	4	10	1	0	1	0	0	1	104857600	1048576	1677721600	IOD	0
read	358.26	246.24	313.78	38.78	5.18642	0	16	4	10	1	1	1	0	0	1	104857600	1048576	1677721600	IOD	0
write	276.85	128.48	201.76	38.56	8.24372	0	16	4	10	1	0	1	0	0	1	104857600	1048576	1677721600	IOD	0
read	277.64	277.64	277.64	0.00	5.76281	0	16	4	1	1	0	1	0	0	1	104857600	1048576	1677721600	IOD	0
write	106.35	31.07	78.47	24.10	0.46741	0	32	8	10	1	0	1	0	0	1	1048576	1048576	33554432	IOD	0
read	314.10	66.08	117.22	68.28	0.32777	0	32	8	10	1	1	1	0	0	1	1048576	1048576	33554432	IOD	0
write	28.55	24.61	26.62	1.21	1.20458	0	32	8	10	1	0	1	0	0	1	1048576	1048576	33554432	IOD	0
read	65.40	65.40	65.40	0.00	0.48928	0	32	8	1	1	0	1	0	0	1	1048576	1048576	33554432	IOD	0
write	317.37	224.20	259.77	26.14	1.24374	0	32	8	10	1	0	1	0	0	1	10485760	1048576	335544320	IOD	0
read	362.22	256.97	315.89	30.33	1.02291	0	32	8	10	1	1	1	0	0	1	10485760	1048576	335544320	IOD	0
write	188.97	118.27	145.42	22.31	2.24718	0	32	8	10	1	0	1	0	0	1	10485760	1048576	335544320	IOD	0
read	327.82	327.82	327.82	0.00	0.97615	0	32	8	1	1	0	1	0	0	1	10485760	1048576	335544320	IOD	0
write	338.93	138.45	219.19	57.12	15.60942	0	32	8	10	1	0	1	0	0	1	104857600	1048576	3355443200	IOD	0
read	404.05	106.22	233.70	120.92	17.80799	0	32	8	10	1	1	1	0	0	1	104857600	1048576	3355443200	IOD	0
write	260.64	84.75	187.31	52.23	19.01917	0	32	8	10	1	0	1	0	0	1	104857600	1048576	3355443200	IOD	0
read	106.77	106.77	106.77	0.00	29.97088	0	32	8	1	1	0	1	0	0	1	104857600	1048576	3355443200	IOD	0
